Date,Open,high,low,count
2020.01.30 19:30,1583.06,1585.9,1582.67,1585.53
2020.01.30 19:45,1585.52,1585.93,1583.95,1584.79
2020.01.30 20:00,1584.75,1585.54,1584,1584.92
2020.01.30 20:15,1584.9,1585.64,1584.1,1584.31
2020.01.30 20:30,1584.27,1584.86,1582.92,1583.72
2020.01.30 20:45,1583.72,1584.43,1583.27,1584.08
2020.01.30 21:00,1584.08,1584.59,1582.81,1583.11
2020.01.30 21:15,1583.11,1583.5,1582.35,1582.49
2020.01.30 21:30,1582.48,1585.62,1580.46,1584.17
2020.01.30 21:45,1584.22,1584.89,1577.45,1579.69
2020.01.30 22:00,1579.66,1579.85,1576.86,1578.62
2020.01.30 22:15,1578.62,1579.1,1576.25,1578.26
2020.01.30 22:30,1578.34,1578.36,1576.89,1577.6
2020.01.30 22:45,1577.52,1578.03,1576.06,1577.04
2020.01.30 23:00,1577.01,1577.25,1573.51,1574.17
2020.01.30 23:15,1574.13,1574.46,1572.82,1573.14
2020.01.30 23:30,1573.12,1573.94,1572.59,1573.64
2020.01.30 23:45,1573.63,1574.17,1573.58,1573.7
2020.01.31 01:00,1574.37,1575.77,1573.96,1575.42
2020.01.31 01:15,1575.42,1575.92,1574.81,1574.84
2020.01.31 01:30,1574.72,1575.13,1574.22,1574.64
2020.01.31 01:45,1574.64,1575.31,1574.55,1575.12
2020.01.31 02:00,1575.1,1575.1,1573.95,1574.44
2020.01.31 02:15,1574.4,1575.51,1574.33,1575.19
2020.01.31 02:30,1575.19,1575.28,1573.94,1575
2020.01.31 02:45,1575.02,1575.42,1574.17,1574.31
2020.01.31 03:00,1574.29,1574.71,1570.91,1571.76
2020.01.31 03:15,1571.76,1572.65,1571.58,1571.75
2020.01.31 03:30,1571.74,1573.74,1571.3,1572.98
2020.01.31 03:45,1572.98,1574.22,1572.88,1573.91
2020.01.31 04:00,1573.87,1573.98,1572.49,1572.54
2020.01.31 04:15,1572.57,1572.81,1571.68,1571.77
2020.01.31 04:30,1571.77,1572.29,1570.89,1572.16
2020.01.31 04:45,1572.16,1572.53,1572.03,1572.27
2020.01.31 05:00,1572.27,1572.76,1571.91,1571.94
2020.01.31 05:15,1571.94,1573.07,1571.79,1572.83
2020.01.31 05:30,1572.95,1572.96,1572.13,1572.58
2020.01.31 05:45,1572.59,1572.64,1572.05,1572.16
2020.01.31 06:00,1572.15,1572.49,1571.72,1571.99
2020.01.31 06:15,1571.97,1572.52,1571.63,1572.36
2020.01.31 06:30,1572.36,1572.36,1571.68,1571.75
2020.01.31 06:45,1571.77,1571.99,1571.65,1571.65
2020.01.31 07:00,1571.65,1572.36,1571.56,1572.26
2020.01.31 07:15,1572.3,1572.47,1572.06,1572.15
2020.01.31 07:30,1572.15,1572.2,1571.68,1571.76
2020.01.31 07:45,1571.76,1572.49,1571.68,1572.36
2020.01.31 08:00,1572.36,1573.98,1572.36,1573.68
2020.01.31 08:15,1573.68,1574.49,1573.65,1574.19
2020.01.31 08:30,1574.19,1574.6,1573.45,1573.45
2020.01.31 08:45,1573.46,1574,1573.12,1573.67
2020.01.31 09:00,1573.72,1574.3,1572.92,1574.18
2020.01.31 09:15,1574.18,1575.01,1573.83,1574.99
2020.01.31 09:30,1574.99,1575.77,1574.42,1575.77
2020.01.31 09:45,1575.79,1576.66,1575.56,1576.4
2020.01.31 10:00,1576.45,1577.21,1576.45,1576.92
2020.01.31 10:15,1576.92,1577,1576.08,1576.79
2020.01.31 10:30,1576.79,1578.28,1576.69,1578.06
2020.01.31 10:45,1578.12,1578.17,1577.08,1578.11
2020.01.31 11:00,1578.11,1578.43,1577.42,1578.21
